r,sequence,timestamp,endpoint,deg,deg/sec,mA,grip/rotation,torque,force,ori,#
m,126,126,387.75051708549904/-427.7759087714553/-25.376809453371415,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,127,127,385.68979383005296/-429.97079655571116/-22.923342506399806,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,128,128,383.6572235988304/-432.14082657180546/-20.782896461816243,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,129,129,381.64259654142796/-434.2928994002838/-18.930461168454954,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,130,130,379.5655274112931/-436.4875122782882/-17.182772289876457,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,131,131,377.39212295592847/-438.7496492585107/-15.460917407509559,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,132,132,375.143957780187/-441.06192494312177/-13.81048248502666,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,133,133,372.8425172794065/-443.4070223016183/-12.276727333787022,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,134,134,370.49077383008256/-445.7817668248912/-10.862660872515017,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,135,135,368.08537680694144/-448.1878144807801/-9.556854336544202,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,136,136,365.6259762885118/-450.6245389962978/-8.354348275901259,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,137,137,363.1166642073564/-453.08793573467347/-7.259760687324979,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,138,138,360.56172651777587/-455.57385544699116/-6.278048342358315,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,139,139,357.96428092764506/-458.0790585272741/-5.411080970540672,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,140,140,355.3269395525368/-460.6006992534702/-4.659389275601468,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,141,141,352.6525473175476/-463.13577156495586/-4.023817741599288,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,142,142,349.94438072496854/-465.6809718254987/-3.505797476594165,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,143,143,347.20576132462554/-468.2329687490496/-3.1067836643697824,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,144,144,344.43999885536505/-470.78847097601516/-2.827869209403353,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,145,145,341.65039677664015/-473.34420884618214/-2.6699496296011103,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,146,146,338.8402948421742/-475.8969053870433/-2.633866165632112,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,147,147,336.01311642862777/-478.44326630755063/-2.7203397663996407,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,148,148,333.17229831309794/-480.9799969938656/-2.9300603507825334,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,149,149,330.32129823041174/-483.5038289499027/-3.263541719545322,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,150,150,327.46358810205487/-486.01151137513386/-3.721178399070558,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,151,151,324.60264072169946/-488.4998117107666/-4.3032965209097505,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,152,152,321.74193063569487/-490.9655493620067/-5.010030288458415,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,153,153,318.88493166684844/-493.40555668107396/-5.841469790185708,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,154,154,316.0350998929934/-495.8167270355353/-6.797542986879943,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,155,155,313.19587651779375/-498.19600493667656/-7.878041942419258,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,156,156,310.3706864979668/-500.5403638782999/-9.082695527309225,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,157,157,307.56289655586426/-502.84687843057077/-10.411015006106567,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,158,158,304.7758576088831/-505.112650132378/-11.862454994133259,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,159,159,302.0128621816359/-507.3348705013543/-13.43631101062033,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,160,160,299.27714231062333/-509.5108242626122/-15.131713769813647,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,161,161,296.5719038410023/-511.637830638078/-16.94773696887053,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,162,162,293.90024254962344/-513.7133508727326/-18.883221907503472,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,163,163,291.2652195736359/-515.7348907261463/-20.936937553276103,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,164,164,288.6698096386984/-517.7000606160024/-23.107500775547255,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,165,165,286.1168768090093/-519.6066049882395/-25.393333663565503,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,166,166,283.60925250906064/-521.4523057692832/-27.792806076472914,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,167,167,281.14961511308957/-523.235117893675/-30.304049937865887,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,168,168,278.7405844064535/-524.953062445274/-32.92510634867914,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,169,169,276.3846810970424/-526.604267404503/-35.65387910741627,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,170,170,274.0842687315854/-528.1870303080295/-38.48805424322473,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,171,171,271.84167330107863/-529.6996885008948/-41.42526931159991,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,172,172,269.65903708246174/-531.1407720072726/-44.46293507144548,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,173,173,267.5384154497212/-532.508901976357/-47.59835504165966,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,174,174,265.48176669067806/-533.8027989570015/-50.82871838456246,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,175,175,263.49085798077283/-535.0213791400467/-54.15098920907033,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,176,176,261.56741486830356/-536.1636008677523/-57.562085409068175,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,177,177,259.7129668531272/-537.2286184492409/-61.05872269773981,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,178,178,257.928928378231/-538.2157012015234/-64.6374981530889,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
m,179,179,256.21662525370976/-539.1242066355096/-68.29492494376012,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0
