r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,12095,451045,1/96/25/90,0/-198/-63/0,-230/1848/264/-127,556/-11/199,0/0,410/-714/-13734,-544/312/295,-5/-305/-13,#r_sy
r,12096,451079,1/95/25/90,0/-195/-64/0,-227/1777/216/-130,557/-12/194,0/0,606/-498/-13750,-558/323/280,-5/-300/-13,#r_sy
r,12097,451112,1/95/24/90,0/-209/-88/0,-230/1837/288/-124,560/-12/184,0/0,672/-340/-13732,-544/315/286,-5/-289/-13,#r_sy
r,12098,451147,1/94/24/90,0/-220/-73/0,-230/1830/217/-130,563/-12/173,0/0,760/-246/-13794,-546/318/288,-4/-278/-13,#r_sy
r,12099,451178,1/93/24/90,0/-218/-88/0,-229/1759/242/-129,564/-12/167,0/0,897/-108/-13900,-561/326/291,-4/-272/-13,#r_sy
r,12100,451213,1/92/24/90,0/-237/-77/0,-228/1696/193/-131,567/-12/155,0/0,1068/28/-13806,-524/309/275,-4/-260/-13,#r_sy
r,12101,451248,1/91/23/90,0/-222/-85/0,-229/1716/228/-130,570/-12/143,0/0,1272/211/-13988,-560/332/267,-4/-248/-13,#r_sy
r,12102,451280,1/91/23/90,0/-237/-57/0,-229/1703/209/-124,571/-12/137,0/0,1416/390/-13884,-516/308/258,-4/-242/-12,#r_sy
r,12103,451314,1/90/23/90,0/-244/-43/0,-229/1672/200/-130,573/-12/124,0/0,1666/640/-14012,-527/317/244,-3/-230/-12,#r_sy
r,12104,451348,1/89/23/90,0/-248/-41/0,-229/1664/239/-127,575/-12/112,0/0,1836/902/-13975,-493/297/248,-3/-218/-12,#r_sy
r,12105,451387,1/88/23/90,0/-242/-42/0,-229/1669/232/-124,578/-12/100,0/0,2110/1106/-14020,-476/293/232,-3/-206/-12,#r_sy
r,12106,451427,1/87/23/90,0/-227/-46/0,-230/1689/209/-127,578/-12/88,0/0,2204/1188/-14022,-449/275/228,-3/-195/-12,#r_sy
r,12107,451467,1/86/22/90,0/-248/-21/0,-228/1719/216/-126,580/-12/77,0/0,2312/1302/-14164,-471/287/225,-3/-185/-12,#r_sy
r,12108,451507,1/85/22/90,0/-229/-16/0,-228/1716/246/-131,581/-12/66,0/0,2330/1318/-14117,-441/270/228,-2/-175/-12,#r_sy
r,12109,451548,1/84/22/90,0/-218/-6/0,-229/1729/284/-127,582/-12/55,0/0,2300/1400/-14303,-479/287/247,-2/-166/-12,#r_sy
r,12110,451587,1/84/22/90,0/-217/0/0,-229/1684/307/-129,583/-12/45,0/0,2322/1394/-14300,-464/280/237,-2/-158/-12,#r_sy
r,12111,451627,1/83/22/90,0/-207/1/0,-228/1660/533/-128,583/-12/36,0/0,2288/1488/-14344,-481/287/250,-2/-150/-12,#r_sy
r,12112,451667,1/82/22/90,0/-200/7/0,-228/1611/782/-124,584/-12/26,0/0,2376/1548/-14342,-480/287/231,-2/-142/-12,#r_sy
r,12113,451707,1/81/22/90,0/-204/8/0,-228/1670/812/-129,584/-12/17,0/0,2336/1556/-14380,-498/294/240,-2/-134/-12,#r_sy
r,12114,451748,1/80/22/90,0/-201/10/0,-229/1704/823/-127,584/-12/8,0/0,2352/1588/-14356,-505/300/227,-2/-127/-12,#r_sy
r,12115,451787,1/80/22/90,0/-167/14/0,-229/1716/813/-129,584/-12/0,0/0,2234/1540/-14370,-515/303/235,-1/-120/-12,#r_sy
r,12116,451821,1/79/22/90,0/-178/10/0,-230/1643/837/-126,584/-12/-4,0/0,2212/1530/-14314,-514/304/229,-1/-116/-12,#r_sy
r,12117,451860,1/78/22/90,0/-192/4/0,-230/1624/814/-127,584/-12/-12,0/0,2138/1488/-14364,-535/313/234,-1/-109/-12,#r_sy
r,12118,451900,1/78/22/90,0/-195/1/0,-229/1662/795/-124,584/-12/-21,0/0,2064/1460/-14356,-538/313/229,-1/-102/-12,#r_sy
r,12119,451941,1/77/22/90,0/-184/0/0,-229/1708/793/-127,584/-12/-29,0/0,1926/1422/-14484,-577/331/242,-1/-95/-12,#r_sy
r,12120,451980,1/76/22/90,0/-191/-2/0,-229/1566/311/-130,583/-12/-38,0/0,1782/1294/-14474,-568/323/238,-1/-88/-12,#r_sy
r,12121,452020,1/76/22/90,0/-196/-4/0,-228/1574/255/-131,583/-12/-47,0/0,1658/1282/-14517,-593/331/249,-1/-80/-12,#r_sy
r,12122,452060,1/75/22/90,0/-178/-8/0,-229/1562/212/-130,582/-12/-56,0/0,1550/1232/-14480,-582/323/249,-1/-72/-12,#r_sy
r,12123,452101,1/74/22/90,0/-209/-5/0,-229/1598/232/-129,581/-12/-65,0/0,1504/1282/-14572,-589/337/257,-1/-64/-12,#r_sy
r,12124,452140,1/73/22/90,0/-206/-3/0,-229/1604/231/-131,580/-12/-75,0/0,1556/1366/-14510,-606/333/253,0/-56/-12,#r_sy
r,12125,452182,1/72/22/90,0/-197/-1/0,-230/1582/185/-133,579/-12/-85,0/0,1648/1484/-14436,-600/331/245,0/-47/-12,#r_sy
r,12126,452222,1/72/22/90,0/-195/0/0,-229/1492/240/-124,578/-12/-94,0/0,1728/1586/-14424,-607/334/245,0/-39/-12,#r_sy
r,12127,452261,1/71/22/90,0/-221/1/0,-230/1542/714/-123,577/-12/-104,0/0,1782/1640/-14362,-598/329/249,0/-31/-12,#r_sy
r,12128,452300,1/70/22/90,0/-200/5/0,-229/1533/725/-129,576/-12/-114,0/0,1754/1656/-14303,-602/325/261,0/-22/-12,#r_sy
r,12129,452340,1/69/22/90,0/-218/5/0,-229/1519/722/-129,574/-12/-124,0/0,1745/1692/-14198,-584/314/270,0/-14/-12,#r_sy
r,12130,452381,1/68/22/90,0/-211/11/0,-230/1493/747/-129,573/-12/-134,0/0,1844/1804/-14224,-595/320/278,0/-6/-12,#r_sy
r,12131,452420,1/67/22/90,0/-225/0/0,-231/1471/652/-130,571/-12/-143,0/0,1952/1904/-14153,-576/312/275,0/2/-12,#r_sy
r,12132,452460,1/66/22/90,0/-215/-4/0,-229/1448/164/-128,569/-12/-153,0/0,2060/2054/-14253,-601/327/276,0/10/-12,#r_sy
