r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,16863,623433,-10/116/31/52,-4/240/0/72,166/2661/554/574,367/-280/378,0/0,1422/-132/-11400,-305/109/312,165/-562/-575,#l_sy
r,16864,623473,-10/117/31/52,-1/219/0/52,76/2612/553/585,363/-277/386,0/0,1460/-376/-11172,-215/66/265,171/-571/-577,#l_sy
r,16865,623513,-10/118/31/53,0/202/0/104,33/2653/554/558,359/-275/394,0/0,1442/-494/-11526,-278/106/268,177/-579/-579,#l_sy
r,16866,623553,-10/119/31/53,0/208/0/55,295/2570/553/607,354/-273/402,0/0,1492/-706/-11280,-186/61/222,182/-586/-580,#l_sy
r,16867,623592,-10/120/31/53,2/185/0/83,509/2616/553/552,350/-270/409,0/0,1404/-756/-11534,-247/98/251,188/-594/-582,#l_sy
r,16868,623628,-10/121/31/54,0/190/0/102,518/2598/554/603,347/-268/415,0/0,1518/-1088/-11366,-182/74/170,193/-601/-583,#l_sy
r,16869,623663,-10/121/31/54,0/181/0/59,370/2568/553/599,343/-265/422,0/0,1370/-1008/-11454,-197/76/216,198/-607/-584,#l_sy
r,16870,623703,-10/122/31/54,-1/171/0/60,129/2514/552/615,340/-263/428,0/0,1388/-1198/-11526,-198/74/160,204/-613/-585,#l_sy
r,16871,623743,-10/123/31/55,-1/156/0/81,65/2543/554/632,337/-260/433,0/0,1194/-1212/-11458,-184/45/182,209/-619/-586,#l_sy
r,16872,623783,-10/123/31/55,-1/106/0/100,46/2498/554/588,334/-258/438,0/0,1192/-1434/-11414,-170/31/128,213/-624/-586,#l_sy
r,16873,623822,-10/124/31/56,0/96/0/95,67/2442/551/610,332/-256/443,0/0,1090/-1518/-11416,-166/23/137,218/-628/-586,#l_sy
r,16874,623854,-10/124/31/56,1/96/0/118,290/2462/556/625,331/-255/445,0/0,1118/-1632/-11300,-131/7/115,219/-630/-586,#l_sy
r,16875,623889,-10/124/31/56,0/71/0/65,391/2434/552/663,329/-253/449,0/0,1158/-1758/-11340,-135/19/91,223/-633/-585,#l_sy
r,16876,623921,-10/124/31/56,0/64/0/117,150/2397/556/609,328/-251/452,0/0,1088/-1752/-11276,-116/9/107,225/-636/-584,#l_sy
r,16877,623955,-10/125/31/57,-1/56/0/93,124/2382/553/653,327/-250/453,0/0,1134/-1998/-11268,-117/20/60,227/-637/-583,#l_sy
r,16878,623988,-10/125/31/57,0/30/0/62,378/2362/552/631,327/-248/456,0/0,1160/-2072/-11298,-112/20/45,229/-639/-582,#l_sy
r,16879,624028,-10/125/31/57,-2/24/0/55,492/2351/554/605,327/-246/458,0/0,1214/-2086/-11150,-81/2/27,230/-640/-579,#l_sy
r,16880,624067,-10/125/31/58,-1/7/0/58,468/2220/551/619,327/-245/459,0/0,1262/-2192/-11070,-71/4/-6,231/-641/-577,#l_sy
r,16881,624108,-10/125/31/58,-1/0/0/57,471/1941/553/568,327/-244/460,0/0,1286/-2240/-11080,-66/-2/-18,231/-641/-574,#l_sy
r,16882,624148,-10/125/31/58,-2/-6/0/57,467/1685/553/609,327/-243/460,0/0,1306/-2432/-11066,-47/-9/-64,230/-640/-572,#l_sy
r,16883,624188,-10/125/31/58,-1/-7/0/37,256/1741/550/571,328/-242/460,0/0,1238/-2342/-11138,-53/-11/-41,230/-640/-570,#l_sy
r,16884,624230,-10/125/31/58,-1/-6/0/25,282/1720/553/543,328/-241/461,0/0,1350/-2446/-11038,-29/-20/-87,230/-640/-568,#l_sy
r,16885,624262,-10/125/31/59,-2/0/0/8,118/1886/553/496,328/-241/461,0/0,1330/-2382/-10994,-8/-38/-70,230/-640/-568,#l_sy
r,16886,624295,-10/125/31/59,-2/0/0/7,90/1998/550/478,328/-241/461,0/0,1286/-2268/-10966,8/-57/-52,230/-640/-568,#l_sy
r,16887,624330,-10/125/31/59,-2/1/0/0,79/2016/553/219,328/-241/461,0/0,1254/-1979/-10946,23/-80/-1,230/-640/-568,#l_sy
r,16888,624363,-10/125/31/59,-3/2/0/-1,86/2225/555/-22,328/-241/461,0/0,1164/-1729/-10918,25/-92/58,231/-640/-568,#l_sy
r,16889,624396,-10/125/31/59,-2/2/0/-4,91/2232/554/-16,328/-241/461,0/0,1266/-1712/-10888,32/-94/34,231/-640/-569,#l_sy
r,16890,624429,-10/125/31/58,-1/-1/0/-3,91/2010/553/-65,328/-242/461,0/0,1196/-1660/-10934,3/-75/68,231/-640/-569,#l_sy
r,16891,624464,-10/125/31/58,0/0/0/-1,79/1751/549/-35,328/-242/461,0/0,1258/-1820/-10840,25/-77/29,231/-640/-569,#l_sy
r,16892,624495,-10/125/31/58,0/0/0/-1,54/1755/551/-28,328/-242/461,0/0,1222/-1860/-10976,-1/-61/36,231/-640/-569,#l_sy
r,16893,624529,-10/125/31/58,1/1/0/0,536/2205/555/48,328/-242/461,0/0,1190/-1852/-10944,26/-74/51,231/-640/-569,#l_sy
r,16894,624564,-10/125/31/58,0/-1/0/0,547/2011/552/422,328/-242/461,0/0,1224/-1990/-10994,24/-64/26,231/-640/-569,#l_sy
r,16895,624595,-10/125/31/58,0/-1/0/1,549/1777/556/218,328/-242/461,0/0,1190/-2102/-11062,16/-55/23,231/-640/-569,#l_sy
r,16896,624629,-10/125/31/58,-1/0/0/0,329/1754/554/125,328/-242/461,0/0,1164/-2238/-11020,36/-61/4,231/-640/-569,#l_sy
r,16897,624668,-10/125/31/58,-1/0/0/0,118/1990/552/-1,328/-242/461,0/0,1150/-2288/-11142,18/-45/-3,231/-640/-569,#l_sy
r,16898,624702,-10/125/31/58,0/0/0/0,82/1878/554/198,328/-242/461,0/0,1162/-2394/-11100,32/-49/-15,231/-640/-569,#l_sy
r,16899,624735,-10/125/31/58,0/0/0/0,94/1991/553/355,328/-242/461,0/0,1156/-2500/-11194,12/-32/-24,231/-640/-569,#l_sy
s,0,#l_sy
r,16900,624769,-10/125/31/58,0/0/0/-1,324/1992/551/374,328/-242/461,0/0,1164/-2540/-11272,3/-25/-25,231/-640/-569,#l_sy
r,16901,624802,-10/125/31/58,1/0/0/-2,395/1989/554/136,328/-242/461,0/0,1148/-2594/-11332,7/-27/-24,231/-640/-569,#l_sy
r,16902,624835,-10/125/31/58,0/0/0/3,480/1990/554/110,328/-242/461,0/0,1152/-2600/-11454,14/-34/-21,231/-640/-569,#l_sy
r,16903,624870,-10/125/31/58,0/0/0/1,483/1990/556/119,328/-242/461,0/0,1094/-2482/-11582,13/-37/14,231/-640/-569,#l_sy
r,16904,624910,-10/125/31/58,0/0/0/1,545/1993/553/110,328/-242/461,0/0,1134/-2560/-11616,7/-29/-1,231/-640/-569,#l_sy
r,16905,624951,-10/125/31/58,0/0/0/3,315/1992/553/108,328/-242/461,0/0,1116/-2558/-11642,7/-30/10,231/-640/-569,#l_sy
r,16906,624990,-10/125/31/58,0/0/0/2,316/1990/554/114,328/-242/461,0/0,1132/-2514/-11656,0/-25/13,231/-640/-569,#l_sy
r,16907,625031,-10/125/31/58,0/0/0/0,319/1993/553/111,328/-242/461,0/0,1066/-2498/-11706,-8/-22/25,231/-640/-569,#l_sy
r,16908,625072,-10/125/31/58,0/0/0/0,316/1990/553/47,328/-242/461,0/0,1054/-2586/-11756,-15/-16/13,231/-640/-569,#l_sy
r,16909,625111,-10/125/31/58,0/0/0/2,320/1992/552/440,328/-242/461,0/0,1064/-2626/-11796,-18/-11/12,231/-640/-569,#l_sy
r,16910,625152,-10/125/31/58,0/0/0/0,318/1993/553/443,328/-242/461,0/0,1086/-2738/-11846,-16/-7/2,231/-640/-569,#l_sy
