r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,16395,605751,-4/81/38/61,-46/256/0/0,-382/2769/552/63,519/194/74,0/0,696/372/-11928,-461/275/389,20/-284/331,#r_sy
r,16396,605792,-4/82/38/61,-74/250/0/0,-345/2819/551/67,517/196/85,0/0,712/378/-11970,-477/285/382,22/-294/334,#r_sy
r,16397,605835,-4/83/38/61,-61/254/0/0,-344/2860/554/69,515/199/97,0/0,646/272/-11860,-440/265/383,24/-305/338,#r_sy
r,16398,605873,-4/84/38/61,-53/261/0/0,-373/2826/553/66,513/201/107,0/0,582/310/-11992,-479/284/400,27/-315/341,#r_sy
r,16399,605913,-5/85/38/61,-39/239/0/0,-340/2823/553/70,510/203/118,0/0,534/362/-11716,-410/242/414,29/-324/344,#r_sy
r,16400,605953,-5/86/38/61,-53/263/0/0,-402/2849/553/66,508/205/128,0/0,530/428/-11842,-446/264/427,32/-334/347,#r_sy
r,16401,605993,-5/87/38/61,-58/233/0/0,-385/2825/554/64,506/207/138,0/0,560/276/-11714,-413/250/404,34/-344/350,#r_sy
r,16402,606034,-5/88/38/61,-52/225/0/0,-341/2812/553/69,502/209/148,0/0,540/238/-11726,-403/245/410,37/-353/354,#r_sy
r,16403,606074,-6/89/38/61,-50/234/0/0,-318/2857/621/67,500/211/158,0/0,616/216/-11708,-393/245/386,40/-362/357,#r_sy
r,16404,606114,-6/90/38/61,-55/247/0/0,-371/2814/621/116,497/213/167,0/0,464/206/-11672,-364/225/418,43/-371/361,#r_sy
r,16405,606153,-6/91/38/61,-66/209/0/0,-359/2839/621/136,494/214/176,0/0,562/140/-11752,-382/239/371,46/-379/364,#r_sy
r,16406,606193,-6/91/38/61,-43/201/0/0,-336/2826/621/134,491/216/185,0/0,380/128/-11586,-333/206/406,49/-388/368,#r_sy
r,16407,606233,-6/92/38/61,-58/196/0/0,-339/2849/622/133,488/218/195,0/0,460/124/-11660,-365/226/376,52/-397/371,#r_sy
r,16408,606274,-7/93/38/61,-42/217/0/0,-319/2840/622/136,485/219/203,0/0,270/142/-11574,-340/205/418,55/-405/374,#r_sy
r,16409,606314,-7/94/38/61,-31/196/0/0,-379/2809/621/135,482/221/211,0/0,318/-26/-11570,-344/212/371,59/-413/378,#r_sy
r,16410,606355,-7/95/38/61,-51/215/0/0,-340/2809/621/134,479/222/219,0/0,72/-76/-11554,-336/201/418,62/-420/381,#r_sy
r,16411,606394,-7/96/38/61,-36/211/0/0,-307/2801/620/136,476/223/227,0/0,168/-117/-11432,-309/192/382,65/-428/384,#r_sy
