r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,22049,813209,8/74/41/86,240/270/0/-90,534/2785/622/-440,555/67/35,0/0,204/984/-11948,-621/314/488,-37/-247/45,#l_sy
r,22050,813249,9/76/41/85,206/263/0/-78,540/2874/620/-416,553/74/48,0/0,318/814/-12124,-644/333/456,-43/-258/52,#l_sy
r,22051,813288,10/77/41/85,189/283/0/-94,551/2859/619/-416,551/82/61,0/0,192/800/-12082,-630/319/496,-50/-268/59,#l_sy
r,22052,813322,11/78/41/85,194/241/0/-70,534/2851/621/-390,550/89/73,0/0,214/588/-12106,-621/319/458,-57/-278/67,#l_sy
r,22053,813354,11/78/41/84,209/244/0/-71,538/2837/621/-411,549/93/79,0/0,130/690/-12056,-623/314/520,-60/-282/71,#l_sy
r,22054,813389,12/79/41/84,193/245/0/-70,559/2852/620/-423,546/101/90,0/0,294/454/-11930,-581/302/440,-68/-292/80,#l_sy
r,22055,813423,13/80/41/84,194/259/0/-48,539/2849/622/-370,544/109/101,0/0,314/458/-11964,-593/310/445,-76/-300/89,#l_sy
r,22056,813455,13/81/41/84,244/250/0/-49,537/2874/621/-343,542/113/107,0/0,384/384/-11708,-552/295/415,-80/-305/93,#l_sy
r,22057,813489,14/82/41/84,227/250/0/-52,539/2841/620/-346,540/121/118,0/0,388/326/-11670,-552/300/404,-88/-313/103,#l_sy
r,22058,813522,15/83/41/84,180/229/0/-41,555/2926/621/-345,536/128/128,0/0,362/320/-11414,-509/278/416,-96/-321/112,#l_sy
r,22059,813554,15/83/41/83,194/258/0/-37,531/2866/620/-336,534/132/133,0/0,380/122/-11334,-498/277/389,-100/-324/117,#l_sy
r,22060,813588,16/84/41/83,171/242/0/-27,531/2898/623/-331,531/139/144,0/0,464/4/-11282,-488/278/362,-109/-332/127,#l_sy
r,22061,813622,17/85/41/83,181/248/0/-20,550/2905/623/-314,528/146/154,0/0,467/30/-11076,-450/258/380,-118/-339/137,#l_sy
r,22062,813654,17/86/41/83,174/222/0/-34,547/2882/620/-272,526/149/159,0/0,566/-42/-11170,-481/281/352,-123/-343/142,#l_sy
r,22063,813695,18/87/41/83,172/223/0/-18,519/2922/622/-297,522/155/170,0/0,560/2/-10962,-448/259/385,-132/-351/152,#l_sy
r,22064,813734,19/88/41/83,166/247/0/-13,506/2919/622/-274,518/161/181,0/0,670/-14/-11022,-483/281/373,-141/-358/162,#l_sy
r,22065,813775,19/89/41/83,133/261/0/-18,510/2871/622/-252,514/167/191,0/0,668/-84/-10714,-432/251/385,-151/-365/173,#l_sy
r,22066,813815,20/90/41/83,106/235/0/-4,518/2913/621/-271,510/171/201,0/0,688/-80/-10726,-472/275/391,-160/-372/183,#l_sy
r,22067,813854,21/91/41/83,132/250/0/1,521/2917/621/-132,506/176/212,0/0,642/-100/-10512,-442/255/404,-170/-380/193,#l_sy
r,22068,813894,21/92/41/83,113/244/0/11,489/2924/621/252,502/180/223,0/0,682/-186/-10468,-454/269/384,-179/-387/203,#l_sy
r,22069,813929,22/93/41/83,108/271/0/8,488/2885/620/259,496/184/233,0/0,616/-268/-10292,-414/243/386,-189/-394/213,#l_sy
r,22070,813962,22/94/41/83,83/272/0/9,413/2946/620/262,492/187/244,0/0,600/-394/-10404,-440/261/380,-199/-402/223,#l_sy
r,22071,813996,22/94/41/83,89/274/0/2,419/2920/623/243,490/188/249,0/0,536/-498/-10210,-385/232/395,-204/-406/228,#l_sy
r,22072,814029,23/95/41/83,90/248/0/0,405/2900/620/232,485/190/260,0/0,518/-546/-10284,-408/247/389,-214/-413/237,#l_sy
r,22073,814070,23/96/41/83,58/272/0/0,381/2900/622/228,480/192/271,0/0,440/-722/-10058,-337/205/383,-225/-421/247,#l_sy
r,22074,814109,23/97/41/83,66/274/0/0,384/2938/623/231,475/193/282,0/0,462/-914/-10108,-346/210/360,-235/-429/256,#l_sy
r,22075,814149,24/98/41/83,44/248/0/0,418/2900/621/222,470/193/292,0/0,394/-892/-10154,-367/217/391,-245/-436/264,#l_sy
r,22076,814189,24/99/41/83,48/259/0/0,403/2919/622/234,466/193/303,0/0,346/-1068/-9896,-299/179/381,-255/-444/273,#l_sy
r,22077,814229,24/100/41/83,30/247/0/0,361/2937/619/229,461/193/313,0/0,209/-1132/-10088,-361/211/408,-265/-452/281,#l_sy
r,22078,814269,24/101/41/83,51/270/0/0,329/2823/621/223,456/192/323,0/0,140/-1260/-9746,-293/171/410,-275/-459/289,#l_sy
r,22079,814310,24/102/41/83,17/255/0/0,340/2847/623/230,452/190/333,0/0,150/-1252/-9778,-335/196/421,-285/-467/297,#l_sy
r,22080,814350,24/103/41/83,15/259/0/0,275/2857/621/227,447/189/342,0/0,90/-1308/-9732,-342/194/440,-294/-475/304,#l_sy
r,22081,814389,24/104/41/83,14/218/0/0,267/2849/621/226,442/186/351,0/0,52/-1354/-9620,-342/191/448,-303/-482/311,#l_sy
r,22082,814429,24/105/41/83,6/248/0/0,252/2804/620/236,437/184/360,0/0,-26/-1410/-9676,-370/203/466,-312/-489/318,#l_sy
r,22083,814469,24/106/41/83,0/234/0/0,237/2844/621/228,433/182/368,0/0,-84/-1514/-9528,-338/184/471,-321/-496/325,#l_sy
r,22084,814511,24/107/41/83,-4/231/0/0,-226/2815/620/232,429/180/376,0/0,-154/-1524/-9598,-369/194/495,-330/-503/331,#l_sy
r,22085,814549,24/108/41/83,0/210/0/0,-235/2811/623/232,425/177/384,0/0,-200/-1568/-9516,-373/186/507,-338/-509/338,#l_sy
r,22086,814584,24/109/41/83,0/163/0/0,-236/2744/622/228,420/175/391,0/0,-235/-1460/-9508,-400/193/551,-347/-515/344,#l_sy
r,22087,814617,24/109/41/83,0/169/0/1,-235/2732/622/228,419/174/394,0/0,-224/-1496/-9492,-407/193/553,-351/-518/348,#l_sy
r,22088,814650,24/110/41/83,0/148/0/1,-237/2751/620/227,414/172/401,0/0,-318/-1602/-9422,-388/182/567,-358/-523/354,#l_sy
r,22089,814684,24/110/41/83,0/162/0/1,-235/2700/620/228,411/170/406,0/0,-370/-1742/-9330,-365/168/550,-365/-528/359,#l_sy
r,22090,814716,24/111/41/83,0/146/0/2,-233/2726/620/227,409/170/409,0/0,-406/-1779/-9386,-369/170/560,-369/-530/362,#l_sy
r,22091,814751,24/111/41/83,0/118/0/3,-239/2692/623/231,406/168/414,0/0,-462/-1902/-9394,-359/162/550,-375/-534/367,#l_sy
s,0,#l_sy
r,22092,814784,24/112/41/83,0/85/0/6,-237/2677/620/239,403/167/418,0/0,-469/-1912/-9340,-330/145/556,-381/-537/372,#l_sy
r,22093,814816,24/112/41/83,0/115/0/10,-231/2651/622/248,403/166/420,0/0,-478/-1894/-9370,-340/149/557,-383/-539/374,#l_sy
r,22094,814851,24/112/41/83,0/64/0/15,-237/2630/623/230,400/165/423,0/0,-494/-1994/-9342,-331/146/539,-388/-542/379,#l_sy
r,22095,814884,24/113/41/83,0/96/0/18,-236/2659/621/274,398/164/426,0/0,-576/-1998/-9334,-331/141/555,-392/-544/382,#l_sy
r,22096,814917,24/113/41/83,0/48/0/10,-236/2668/620/286,398/164/427,0/0,-560/-1984/-9200,-314/132/547,-394/-545/384,#l_sy
r,22097,814950,24/113/41/83,0/58/0/14,-235/2604/620/244,396/164/429,0/0,-650/-1904/-9138,-301/118/563,-397/-547/387,#l_sy
r,22098,814984,24/113/41/83,0/32/0/24,-234/2560/621/266,395/163/430,0/0,-672/-1850/-9062,-291/109/570,-398/-548/389,#l_sy
r,22099,815016,24/113/41/83,0/20/0/11,-234/2482/621/282,394/163/431,0/0,-652/-1837/-9022,-284/108/574,-399/-548/390,#l_sy
r,22100,815050,24/113/41/83,0/0/0/16,-237/2404/620/282,394/164/431,0/0,-630/-1852/-8924,-261/96/570,-400/-548/391,#l_sy
r,22101,815083,24/113/41/83,0/-1/0/17,-235/2127/621/281,394/164/431,0/0,-596/-1918/-9008,-274/107/555,-400/-548/392,#l_sy
r,22102,815116,24/113/41/84,0/0/0/27,-238/1968/621/256,394/164/431,0/0,-648/-1932/-8982,-255/94/566,-400/-548/392,#l_sy
r,22103,815150,24/113/41/84,0/0/0/25,-236/1969/620/321,393/165/431,0/0,-658/-1966/-9074,-255/95/557,-400/-548/393,#l_sy
r,22104,815185,24/113/41/84,0/0/0/25,-236/1967/621/256,393/166/431,0/0,-672/-2006/-9046,-216/71/556,-399/-548/394,#l_sy
r,22105,815218,24/113/41/84,0/0/0/40,-235/1898/621/284,393/166/431,0/0,-662/-2062/-9118,-213/70/543,-399/-548/395,#l_sy
r,22106,815252,24/113/41/84,0/0/0/26,-239/2042/621/300,393/167/431,0/0,-694/-2058/-9092,-191/56/540,-399/-548/396,#l_sy
r,22107,815286,24/113/41/84,0/0/0/52,-233/2133/621/312,392/168/432,0/0,-756/-2044/-9110,-187/48/545,-399/-548/398,#l_sy
r,22108,815317,24/113/41/84,0/0/0/52,-237/2129/621/329,392/168/432,0/0,-780/-2080/-9106,-179/44/529,-399/-548/399,#l_sy
r,22109,815352,24/113/41/84,0/0/0/49,-232/2132/621/333,392/169/432,0/0,-754/-2110/-9070,-168/43/520,-399/-548/401,#l_sy
r,22110,815384,24/113/41/85,0/0/0/46,-237/2134/621/338,392/170/432,0/0,-756/-2204/-9084,-158/40/494,-399/-548/403,#l_sy
r,22111,815418,24/113/41/85,0/0/0/52,-235/2133/620/335,392/171/432,0/0,-810/-2284/-9102,-149/37/489,-399/-548/405,#l_sy
r,22112,815451,24/113/41/85,0/0/0/87,-235/2134/620/405,392/172/432,0/0,-852/-2288/-9112,-140/31/488,-399/-548/407,#l_sy
r,22113,815485,24/113/41/85,0/0/0/49,-241/2133/621/365,391/173/432,0/0,-860/-2304/-9160,-139/36/482,-399/-548/410,#l_sy
r,22114,815518,24/113/41/85,0/0/0/46,-234/2134/620/343,391/174/432,0/0,-858/-2388/-9166,-130/34/464,-399/-548/411,#l_sy
r,22115,815551,24/113/41/86,0/0/0/55,-238/2130/621/376,390/176/432,0/0,-852/-2462/-9228,-130/37/446,-399/-548/414,#l_sy
r,22116,815585,24/113/41/86,0/0/0/98,-238/2134/621/403,390/177/432,0/0,-878/-2522/-9238,-117/35/428,-399/-548/417,#l_sy
r,22117,815618,24/113/41/86,0/0/0/52,-234/2131/620/413,389/178/432,0/0,-920/-2570/-9246,-108/29/416,-399/-548/418,#l_sy
r,22118,815652,24/113/41/86,0/0/0/90,-235/2138/620/389,389/179/433,0/0,-939/-2596/-9260,-110/32/403,-399/-548/421,#l_sy
r,22119,815686,24/113/41/87,0/0/0/88,-236/2135/621/437,388/181/433,0/0,-934/-2604/-9260,-108/34/389,-399/-548/424,#l_sy
r,22120,815717,24/113/41/87,0/0/0/92,-238/2134/621/408,388/182/433,0/0,-935/-2662/-9288,-111/39/368,-399/-548/426,#l_sy
r,22121,815751,24/113/41/87,0/0/0/71,-234/2136/620/375,387/183/433,0/0,-950/-2760/-9296,-109/40/344,-399/-548/429,#l_sy
r,22122,815791,24/113/41/88,0/0/0/77,-231/2136/620/377,387/185/433,0/0,-947/-2834/-9306,-100/39/317,-399/-548/432,#l_sy
r,22123,815832,24/113/41/88,0/0/0/75,-230/2133/621/371,387/186/433,0/0,-947/-2876/-9300,-90/37/294,-399/-548/435,#l_sy
r,22124,815871,24/113/41/88,0/0/0/63,-228/2135/621/405,386/188/433,0/0,-956/-2940/-9336,-96/46/273,-399/-548/437,#l_sy
r,22125,815904,24/113/41/88,0/0/0/77,-231/2133/619/355,386/189/433,0/0,-985/-3006/-9352,-92/46/261,-399/-548/440,#l_sy
r,22126,815938,24/113/41/88,0/0/0/61,-230/2131/621/368,385/189/433,0/0,-1022/-3072/-9366,-85/45/253,-399/-548/441,#l_sy
r,22127,815977,24/113/41/89,0/0/0/42,-229/2135/620/423,385/190/433,0/0,-1050/-3176/-9424,-85/49/243,-399/-548/443,#l_sy
r,22128,816018,24/113/41/89,0/0/0/36,-229/2137/621/328,385/191/433,0/0,-1058/-3232/-9454,-84/52/239,-399/-548/444,#l_sy
r,22129,816058,24/113/41/89,0/0/0/23,-230/2131/619/347,384/192/433,0/0,-1070/-3296/-9494,-84/55/236,-399/-548/446,#l_sy
r,22130,816099,24/113/41/89,0/0/0/16,-230/2137/620/299,384/192/433,0/0,-1064/-3332/-9542,-91/61/232,-399/-548/446,#l_sy
