r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8313,312387,-8/69/26/73,-212/0/0/0,-553/2060/485/231,545/181/-110,0/0,2560/1676/-12612,-515/282/358,6/-43/246,#r_sy
r,8314,312419,-8/69/26/73,-185/0/0/0,-557/2061/484/228,545/185/-110,0/0,2566/1656/-12680,-520/285/370,6/-43/249,#r_sy
r,8315,312454,-9/69/26/73,-184/0/0/0,-530/2057/486/230,542/193/-110,0/0,2596/1645/-12618,-495/270/349,6/-43/257,#r_sy
r,8316,312487,-10/69/26/73,-188/0/0/0,-516/2059/488/228,540/201/-110,0/0,2530/1584/-12656,-496/271/384,7/-42/264,#r_sy
s,0,#r_sy
r,8317,312519,-10/69/26/73,-201/0/0/0,-523/2058/484/227,540/205/-110,0/0,2534/1582/-12730,-504/274/393,7/-42/268,#r_sy
r,8318,312553,-10/69/26/73,-117/0/0/0,781/2056/488/230,537/211/-110,0/0,2270/1624/-12732,-504/262/459,8/-42/274,#r_sy
r,8319,312592,-10/69/26/73,-58/0/0/0,552/2057/487/124,536/216/-110,0/0,2182/1745/-12692,-495/249/479,8/-42/278,#r_sy
r,8320,312633,-10/69/26/73,-55/0/0/-8,483/2057/480/-232,535/219/-110,0/0,1934/1754/-12686,-492/236/531,8/-42/281,#r_sy
r,8321,312674,-10/69/26/73,-13/0/0/-11,528/2055/487/-261,534/221/-110,0/0,1879/1504/-12772,-501/237/506,8/-42/283,#r_sy
r,8322,312714,-10/69/26/73,12/0/0/-10,649/2060/486/-262,534/221/-110,0/0,1829/1282/-12798,-495/224/478,8/-42/284,#r_sy
r,8323,312754,-10/69/26/73,16/0/0/-18,766/2062/486/-290,534/221/-110,0/0,1596/1292/-12858,-497/208/556,8/-42/284,#r_sy
r,8324,312795,-10/69/26/73,13/0/0/-24,716/2058/485/-289,534/220/-110,0/0,1588/1368/-12748,-481/190/564,8/-42/284,#r_sy
r,8325,312834,-10/69/26/73,4/0/0/-21,700/2059/485/-274,534/220/-110,0/0,1462/1390/-12718,-475/172/621,8/-42/284,#r_sy
