r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,13215,491764,-3/72/74/53,0/-179/0/0,-229/1710/555/364,420/221/95,0/0,-612/-728/-12756,-477/305/550,47/-557/429,#r_sy
r,13216,491803,-3/71/74/53,0/-148/0/0,-228/1722/554/363,420/221/89,0/0,-696/-782/-12776,-466/300/563,46/-551/428,#r_sy
r,13217,491843,-3/70/74/53,0/-174/0/0,-229/1622/553/362,421/221/83,0/0,-650/-744/-12853,-481/309/560,45/-544/427,#r_sy
r,13218,491883,-3/70/74/53,0/-165/0/-1,-230/1721/554/121,422/221/77,0/0,-580/-736/-12902,-487/314/552,43/-537/427,#r_sy
r,13219,491923,-3/69/74/53,0/-187/0/-1,-228/1612/555/111,423/221/71,0/0,-584/-730/-12934,-489/315/563,42/-530/426,#r_sy
r,13220,491963,-3/68/74/53,0/-181/0/-1,-228/1647/554/107,424/221/65,0/0,-558/-738/-13039,-512/329/558,41/-523/425,#r_sy
r,13221,492012,-3/68/74/53,0/-174/0/-1,-227/1590/552/109,425/221/58,0/0,-528/-738/-13010,-501/324/554,40/-516/424,#r_sy
r,13222,492043,-3/67/74/53,0/-171/0/-1,-232/1588/552/121,425/221/52,0/0,-458/-710/-13067,-517/335/545,39/-509/423,#r_sy
r,13223,492084,-3/66/74/53,0/-194/0/-1,-229/1606/550/122,425/221/46,0/0,-534/-718/-13148,-527/338/559,38/-501/422,#r_sy
r,13224,492123,-3/65/74/53,0/-207/0/-1,-232/1621/552/113,425/221/39,0/0,-436/-716/-13164,-529/340/541,37/-494/422,#r_sy
r,13225,492167,-3/65/74/53,0/-177/0/-1,-230/1564/551/127,426/221/32,0/0,-378/-686/-13274,-549/353/540,36/-486/421,#r_sy
r,13226,492205,-3/64/74/53,0/-201/0/-1,-228/1596/557/94,426/221/25,0/0,-340/-694/-13260,-538/350/533,35/-478/420,#r_sy
r,13227,492244,-3/63/74/53,0/-209/0/0,-229/1554/555/254,427/221/18,0/0,-292/-654/-13398,-575/374/539,34/-470/419,#r_sy
