r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,17408,643444,52/99/38/54,-11/0/0/359,-247/2269/553/776,417/-313/250,0/0,-1858/-1716/-10622,-7/-36/652,-404/-267/-265,#r_sy
r,17409,643478,52/99/38/56,-7/0/0/349,-258/2268/586/760,414/-319/254,0/0,-1898/-1792/-10596,-4/-38/661,-404/-267/-279,#r_sy
r,17410,643513,52/99/38/57,-9/0/0/338,-242/2266/621/763,412/-325/257,0/0,-2008/-1856/-10558,25/-63/693,-404/-267/-292,#r_sy
r,17411,643553,52/99/38/58,-11/0/0/332,-248/2267/621/770,409/-331/260,0/0,-2110/-1982/-10520,43/-76/718,-404/-267/-305,#r_sy
r,17412,643594,52/99/38/60,-17/0/0/311,-247/2269/622/760,407/-336/262,0/0,-2182/-2114/-10610,48/-79/735,-403/-268/-318,#r_sy
r,17413,643633,52/99/38/61,-24/0/0/324,-267/2267/621/741,404/-341/265,0/0,-2192/-2174/-10672,40/-71/742,-403/-268/-330,#r_sy
r,17414,643673,52/99/38/62,-20/0/0/303,-307/2269/620/741,402/-346/267,0/0,-2184/-2264/-10620,66/-80/744,-403/-269/-341,#r_sy
r,17415,643713,52/99/38/63,-18/0/0/287,-297/2268/620/739,399/-350/270,0/0,-2174/-2312/-10654,51/-70/744,-402/-270/-352,#r_sy
r,17416,643753,52/99/38/65,-39/0/0/298,-311/2268/621/734,398/-355/272,0/0,-2122/-2424/-10650,73/-77/724,-402/-270/-363,#r_sy
r,17417,643793,52/99/38/66,-32/0/0/264,-315/2269/621/725,395/-359/274,0/0,-2192/-2436/-10748,57/-68/745,-401/-271/-373,#r_sy
r,17418,643833,51/99/38/67,-43/0/0/261,-305/2268/620/710,393/-362/275,0/0,-2076/-2518/-10692,57/-66/714,-401/-272/-383,#r_sy
r,17419,643873,51/99/38/68,-37/0/0/282,-322/2267/620/655,391/-366/277,0/0,-2098/-2520/-10664,41/-61/735,-400/-273/-392,#r_sy
r,17420,643913,51/99/38/69,-21/0/0/270,-323/2268/622/648,389/-369/278,0/0,-2000/-2616/-10652,25/-48/704,-400/-273/-401,#r_sy
r,17421,643953,51/99/38/70,-20/0/0/266,-288/2268/621/656,387/-373/280,0/0,-2068/-2690/-10630,28/-49/718,-399/-274/-410,#r_sy
r,17422,643994,51/99/38/71,-23/0/0/214,-276/2268/621/658,385/-376/281,0/0,-2150/-2730/-10686,17/-45/734,-399/-275/-418,#r_sy
r,17423,644032,51/99/38/72,-21/0/0/235,-300/2269/621/627,383/-379/282,0/0,-2120/-2852/-10702,28/-43/723,-399/-275/-426,#r_sy
r,17424,644073,51/99/38/72,-20/0/0/229,-285/2267/621/640,381/-382/283,0/0,-2080/-2854/-10692,19/-41/732,-398/-276/-433,#r_sy
r,17425,644113,51/99/38/73,-25/0/0/195,-292/2269/622/642,380/-384/284,0/0,-1994/-2940/-10732,14/-32/707,-398/-277/-440,#r_sy
r,17426,644152,51/99/38/74,-19/0/0/163,-288/2270/621/605,378/-387/285,0/0,-2020/-2942/-10724,18/-34/729,-398/-277/-447,#r_sy
r,17427,644192,50/99/38/75,-15/0/0/185,-263/2266/620/597,376/-389/286,0/0,-1960/-2998/-10670,39/-44/717,-397/-278/-453,#r_sy
r,17428,644232,50/99/38/75,-27/0/0/134,-261/2332/622/604,375/-391/286,0/0,-1982/-3036/-10722,33/-37/732,-397/-278/-458,#r_sy
r,17429,644273,50/99/38/76,-29/0/0/142,-258/2334/622/568,374/-393/287,0/0,-1924/-3110/-10768,23/-27/714,-396/-279/-463,#r_sy
r,17430,644312,50/99/38/76,-19/0/0/142,-304/2335/621/565,373/-394/288,0/0,-1870/-3112/-10778,24/-25/711,-396/-279/-467,#r_sy
r,17431,644352,50/99/38/77,-24/0/0/120,-270/2336/622/555,372/-395/288,0/0,-1848/-3114/-10800,16/-16/706,-396/-280/-471,#r_sy
r,17432,644392,50/99/38/77,-31/0/0/98,-307/2335/622/539,371/-396/288,0/0,-1828/-3160/-10824,9/-8/691,-395/-281/-474,#r_sy
r,17433,644432,50/99/38/78,-28/0/0/86,-301/2335/619/495,371/-397/289,0/0,-1816/-3156/-10868,-5/0/688,-395/-282/-477,#r_sy
r,17434,644472,50/99/38/78,-22/0/0/105,-334/2334/620/470,371/-397/289,0/0,-1778/-3178/-10822,3/-3/673,-394/-283/-479,#r_sy
s,0,#r_sy
r,17435,644513,50/99/38/78,-28/0/0/57,-324/2334/621/500,371/-397/289,0/0,-1850/-3180/-10838,-10/2/687,-393/-284/-481,#r_sy
r,17436,644553,49/99/38/78,-38/0/0/38,-288/2337/620/462,371/-397/290,0/0,-1852/-3225/-10816,-9/2/685,-393/-284/-482,#r_sy
r,17437,644592,49/99/38/79,-26/0/0/33,-287/2335/620/400,371/-397/290,0/0,-1842/-3266/-10796,-9/3/682,-392/-285/-483,#r_sy
r,17438,644634,49/99/38/79,-38/0/0/19,-324/2335/623/312,371/-396/290,0/0,-1832/-3250/-10794,-17/7/679,-392/-286/-483,#r_sy
r,17439,644674,49/99/38/79,-32/0/0/-1,-285/2335/622/244,372/-396/290,0/0,-1804/-3254/-10800,-22/11/673,-391/-287/-482,#r_sy
r,17440,644714,49/99/38/79,-35/0/0/-14,-273/2334/621/-237,372/-395/290,0/0,-1816/-3238/-10834,-33/15/681,-391/-287/-481,#r_sy
r,17441,644754,49/99/38/79,-17/0/0/-27,-232/2335/622/-261,373/-394/290,0/0,-1762/-3218/-10856,-46/23/668,-391/-288/-479,#r_sy
r,17442,644794,49/99/38/79,-21/0/0/-35,-292/2336/622/-272,374/-393/290,0/0,-1726/-3156/-10852,-62/31/666,-390/-288/-477,#r_sy
r,17443,644835,49/99/38/78,-24/0/0/-47,-286/2336/621/-236,375/-392/289,0/0,-1650/-3114/-10876,-84/43/650,-390/-289/-475,#r_sy
r,17444,644875,49/99/38/78,-14/0/0/-40,-260/2335/623/-235,376/-391/289,0/0,-1608/-3072/-10884,-104/52/630,-390/-289/-473,#r_sy
r,17445,644915,49/99/38/78,-11/0/0/-48,-277/2337/620/-285,376/-389/289,0/0,-1678/-3012/-10900,-117/54/638,-389/-289/-471,#r_sy
r,17446,644955,49/99/38/78,-5/0/0/-40,-254/2335/621/-280,377/-388/289,0/0,-1716/-2992/-10886,-125/56/627,-389/-290/-468,#r_sy
r,17447,644996,49/99/38/78,-4/0/0/-71,-243/2334/622/-279,378/-387/289,0/0,-1760/-2950/-10916,-139/60/628,-389/-290/-466,#r_sy
